County,Positivity Rate,Death Rate
Adair,0.09747215081405312,0.0028384747215081407
Allen,0.09995557529986672,0.0018757095611826842
Anderson,0.0786490969406561,0.0009214891264283082
Ballard,0.04646974063400577,0.0009606147934678194
Barren,0.1021617443848514,0.0021078764315994097
Bath,0.07625180038973142,0.0016944844531051428
Bell,0.1082818381987357,0.0018467220683287165
Boone,0.1135743962607115,0.001119839002856401
Bourbon,0.08274208054361946,0.000899370440691516
Boyd,0.09860156916947843,0.0014634741249644294
Boyle,0.11637394551237726,0.0023855621629096943
Bracken,0.07195093182354328,0.0008256664307619722
Breathitt,0.07272326997871872,0.0005870697879210391
Breckinridge,0.059900249376558606,0.0006982543640897755
Bullitt,0.09131529346636966,0.0009226429767098551
Butler,0.11125009772496286,0.001876319286998671
Caldwell,0.11115405426296668,0.002318930200200974
Calloway,0.09251089614117147,0.0013022217497608165
Campbell,0.09513225650279478,0.0008802429470533867
Carlisle,0.09182663764100535,0.001583217890362161
Carroll,0.09007689491028927,0.001739289637495423
Carter,0.08185573794464958,0.0011698899572258985
Casey,0.08656419192233493,0.002115875287821271
Christian,0.09076340326340326,0.00135092180546726
Clark,0.07683913031312085,0.0007835016929233008
Clay,0.12210516545226714,0.0019028170975077738
Clinton,0.14130859375,0.00302734375
Crittenden,0.06868665085184386,0.0021565667457407807
Cumberland,0.1014302393461763,0.0016053706946876824
Daviess,0.1068377380111933,0.0018314456142504885
Edmonson,0.07309217046580772,0.001734390485629336
Elliott,0.12308089278802735,0.0002580312217778351
Estill,0.07311353290108981,0.0007587253414264037
Fayette,0.1142695215756162,0.0009729665980894475
Fleming,0.07895280744057871,0.0014467791939373061
Floyd,0.08454519896746492,0.0016356991335906151
Franklin,0.07998626151608211,0.0009293680297397769
Fulton,0.07735906862745098,0.002144607843137255
Gallatin,0.08165918222642402,0.00319073505081541
Garrard,0.08857767535306979,0.001950008863676653
Grant,0.09741105593096148,0.0008141333550435562
Graves,0.10956970923421025,0.002396421344126105
Grayson,0.08195898188559732,0.0020084199142559192
Green,0.10624169986719788,0.0013280212483399733
Greenup,0.09592730636341378,0.0015507250319667003
Hancock,0.09986146386515816,0.0018471484645578389
Hardin,0.08839696508730507,0.001409199929073381
Harlan,0.09579561737671688,0.002900779366022437
Harrison,0.08866279069767442,0.0011843238587424634
Hart,0.10540599218410769,0.0024424663482414243
Henderson,0.09971595799621277,0.0016138750215183336
Henry,0.08608667318344737,0.0007168458781362007
Hickman,0.07473309608540925,0.0020933640360058614
Hopkins,0.09280424639356193,0.0030820598433286247
Jackson,0.09695831768681938,0.002403304543747653
Jefferson,0.10565788947936229,0.00152235585567587
Jessamine,0.09034808211995321,0.00123018593957972
Johnson,0.08079125010681022,0.0013671708109031873
Kenton,0.10261792423623237,0.0012074153880447301
Knott,0.07022681954137587,0.0014332003988035893
Knox,0.10502571221251222,0.0010726567183014166
Larue,0.09171576630936325,0.0018456733158230994
Laurel,0.10961208491740403,0.001127073310231134
Lawrence,0.08806620759365721,0.0012635036957483101
Lee,0.17248431960730842,0.003408781019907281
Leslie,0.08026575686837853,0.0005386963548213323
Letcher,0.07796807934325124,0.0017502187773471684
Lewis,0.0874900743521259,0.002382155489785606
Lincoln,0.09251065224516553,0.0018846279908226811
Livingston,0.08783998306699121,0.0021166260979997883
Logan,0.10441887485476556,0.0023987106930025114
Lyon,0.17824594626583026,0.0022487868386791335
Madison,0.10809471560542243,0.0012859991269363726
Magoffin,0.07125908916953692,0.0010715652506697283
Marion,0.1121313438794351,0.0018463995209341783
Marshall,0.08674220600473721,0.0017604506753728954
Martin,0.07947954224800126,0.0015676438313215238
Mason,0.09195533924992842,0.0019467506441454337
McCracken,0.0969162324405034,0.0018130846817198403
McCreary,0.1090123525175871,0.0016617736664266327
McLean,0.09153005464480875,0.0028373266078184113
Meade,0.06813826146475017,0.0008213552361396304
Menifee,0.07134929443475503,0.0025368638021246235
Mercer,0.11759467566554181,0.0022965879265091863
Metcalfe,0.10281591341817817,0.0026054714901292716
Monroe,0.11991513697998339,0.0036896965224610277
Montgomery,0.09413953488372093,0.0011162790697674418
Morgan,0.16242675962322925,0.0002225024104427798
Muhlenberg,0.09207838631431124,0.0019149751053236309
Nelson,0.10890932864421299,0.0011497362369809279
Nicholas,0.07421097526300825,0.0011373329542223485
Ohio,0.10267188280339604,0.0022889961711336773
Oldham,0.12089826892699529,0.001335352647092351
Owen,0.06044312598498192,0.0011124501715027348
Owsley,0.1032435870256519,0.0025439898240407037
Pendleton,0.06878343162803456,0.000274310794129749
Perry,0.09214015486334547,0.002227486475974967
Pike,0.08508413198888647,0.001420410201979209
Powell,0.09351710874268772,0.000881480887891658
Pulaski,0.09799235933152012,0.001509267847878378
Robertson,0.09611913357400723,0.00631768953068592
Rockcastle,0.08633937474338671,0.0012317437972901636
Rowan,0.09215862039527041,0.0008537157980108422
Russell,0.10412283195905601,0.002388399203866932
Scott,0.09812006286869017,0.0006531811965463044
Shelby,0.10450876066415925,0.001605357306669113
Simpson,0.11533204237384669,0.0019933933249800663
Spencer,0.0901216154199174,0.0010325837540156035
Taylor,0.12132755197147141,0.001701989707014629
Todd,0.08545928441671274,0.001974567569702235
Trigg,0.08625486922648859,0.0009738452977184196
Trimble,0.07560643844933122,0.0007934708682838359
Union,0.08796234919793186,0.000994299350391091
Warren,0.13338863754928204,0.0014196649248689375
Washington,0.11946716128488323,0.0030351572380069134
Wayne,0.10502766418089969,0.002213134471974982
Webster,0.0901427198106929,0.0014789617688382756
Whitley,0.13476710559564253,0.0013757475362888509
Wolfe,0.06919114576082416,0.0006960879855213699
Woodford,0.08419497784342689,0.0007585133139047466
